Residue,Year,Location,Date,doy_min, doy_max
18-month-old residues,2000,East Chapman,4 July,185, 185
18-month-old residues,2000,Merredin,6 July,187, 187
18-month-old residues,2000,Mount Barker,20 March,80, 80
18-month-old residues,2000,Wongan Hills,2 July,183, 183
6-month-old residues,1998,East Chapman,26 June,179, 179
6-month-old residues,1998,Merredin,6 July,187, 187
6-month-old residues,1998,Mount Barker,12 May,132, 132
6-month-old residues,1998,Wongan Hills,21 June,172, 172
6-month-old residues,1999,East Chapman,1-9 June,152, 160
6-month-old residues,1999,Merredin,14 May-28 June,134, 179
6-month-old residues,1999,Mount Barker,14 April-12 May,104, 132
6-month-old residues,1999,Wongan Hills,26 May-2 June,146, 153
6-month-old residues,2000,East Chapman,4-11 July,185, 192
6-month-old residues,2000,Merredin,25 June-2 July,176, 183
6-month-old residues,2000,Mount Barker,13-20 March,73, 80
6-month-old residues,2000,Wongan Hills,22 June,173, 173
